ID,Rule,Domain
Nav-1,"Navigation should answer 3 questions instantly: Where am I? Where can I go? How do I get back?",Navigation
Nav-2,"Never hide high-frequency actions in hamburger menus on mobile. Reserve hamburgers for secondary, infrequent items.",Navigation
Nav-3,"Breadcrumbs are required on sites with 3+ hierarchy levels. They reduce navigation errors by up to 39%.",Navigation
Form-2,Validate inputs inline on blur (when user leaves the field) — never wait until form submission to show all errors.,Forms
Form-3,"For long forms, show a progress bar and split into logical steps. Never show a form with more than 7 fields at once.",Forms
Form-4,Auto-focus the first input field when a form opens. Provide sensible tab order (top-to-bottom left-to-right).,Forms
Form-5,"Use smart defaults wherever possible — pre-fill known information, suggest the most likely option.",Forms
Form-6,"Destructive actions (delete, remove) require confirmation — a dialog with the consequence clearly stated.",Forms
Loading-1,"Show immediate feedback within 100ms of any user action — even a micro-animation signals the system heard the user.",Loading
Loading-2,"For operations over 10 seconds, show a progress percentage or step count. Never show an infinite spinner for long tasks.",Loading
Loading-3,"Lazy-load images and off-screen content. Use Intersection Observer, not scroll event listeners.",Loading
Performance-1,"Perceived performance matters more than actual performance. Preload the next screen's data before the user navigates to it.",Performance
Performance-2,"Target Core Web Vitals: LCP < 2.5s, INP < 200ms, CLS < 0.1. These directly correlate with conversion and retention.",Performance
Dark-1,"Never use dark patterns. Specifically avoid: roach motel (easy in, hard out), confirmshaming, hidden costs, pre-ticked boxes.",Ethics
Dark-2,"Cancellation must be as easy as signup. A cancel button must be accessible in 2 clicks or fewer.",Ethics
Dark-3,Do not use artificial urgency or false scarcity (fake countdown timers or 'only 2 left' when untrue).,Ethics
Trust-1,"Display trust signals near conversion points: security badges, testimonials, and money-back guarantees.",Conversion
Trust-2,"Social proof is most effective near the CTA. Place review counts, logos, or user numbers directly above or below the primary action.",Conversion
Onboard-2,The Aha Moment is the goal of onboarding. Every step must move the user closer to experiencing core value.,Onboarding
Onboard-3,"Delay registration walls — let users experience value first. Apps that do this see up to 50% higher activation rates.",Onboarding
Onboard-4,Provide a progress indicator for multi-step onboarding flows. Users who see progress are 40% more likely to complete.,Onboarding
Cognitive-1,Cognitive load must be minimized. One primary action per screen. Remove every element that does not help the user complete their current task.,General
Cognitive-2,"Apply progressive disclosure: show only what users need right now. Reveal complexity on demand, not upfront.",General
Personalization-1,"Personalize interfaces using behavioral data: show recently used features, remember preferences, adapt content to context.",General
Responsive-1,"Design mobile-first. Define breakpoints at 375px, 768px, 1024px, and 1440px. Test on real devices at every breakpoint.",Responsive
Responsive-2,Never use fixed pixel widths for layout containers. Use fluid grids with max-width constraints.,Responsive
Icon-1,Never use emojis as functional UI icons. Use SVG icon libraries (Heroicons, Lucide, Phosphor).,UI
Icon-2,Icon-only buttons must have an aria-label and ideally a tooltip on hover. Never icon-only for critical actions.,UI
Card-1,"Cards must have clearly defined boundaries (shadow, border, or background contrast) to signal interactivity.",UI
Card-2,"Clickable cards need a visible hover state — background change, shadow elevation, or border highlight.",UI
Table-1,"For data tables: freeze the header row on scroll, allow column sorting, and provide row hover highlighting.",UI
Table-2,Align numbers right-justified in tables so decimal points line up for easy scanning.,Typography
Search-1,Search inputs should support instant results (< 300ms debounce). Show helpful empty-state when no results are found.,UI
Search-2,"Forgiving search: handle typos, synonyms, and partial matches. Never return zero results without a suggestion.",Interactions
Notification-1,"Notifications must be dismissible and time-limited. Auto-dismiss success toasts after 3–5s. Error toasts persist until dismissed.",Interactions
Notification-2,Limit notification types to 3: success (green) / warning (amber) / error (red). Never use 6+ color-coded states.,Color
Spacing-1,Establish a spacing scale (4px base): 4 / 8 / 12 / 16 / 24 / 32 / 48 / 64 / 96. Never use arbitrary values.,System
Spacing-2,Increase internal padding before increasing external margin — content inside a component needs breathing room first.,System
Depth-1,Use elevation (shadow intensity) to communicate layer depth. Higher elevation = more important / closer to user.,UI
Depth-2,"Consistent shadow scale: Level 1 (cards), Level 2 (dropdowns), Level 3 (modals), Level 4 (popovers).",Architecture
Copy-1,"UI copy must be scannable: short sentences, active voice, second person ('You', 'Your'). Never passive or corporate.",General
Copy-2,Button labels must be action verbs describing the outcome. 'Save Changes' not 'OK'. 'Delete Account' not 'Confirm'.,UI
Copy-3,"Microcopy at friction points (payment, deletion, permissions) must be reassuring and specific about consequences.",General
A11y-7,"Support keyboard-only navigation throughout. Tab order must follow visual reading order (top-left to bottom-right).",Accessibility
A11y-8,"ARIA roles should complement semantic HTML, not replace it. Use <button> for buttons, not <div role='button'>.",Accessibility
Platform-1,"On iOS, follow Human Interface Guidelines. On Android, follow Material Design 3. Never mix platform conventions in native apps.",Mobile
Platform-2,"Respect platform-specific gestures: iOS swipe-left edge to go back, Android system back button. Never fight native conventions.",Mobile
Density-1,"For information-dense UIs (dashboards, admin): use compact spacing with clear row dividers. For consumer: use generous whitespace.",Layout
Testing-1,"Test designs with real users at every major milestone. A design not tested with users is a guess, not a decision.",Process
Testing-2,"5 users can reveal 85% of usability issues. Run 5-participant tests iteratively rather than one large study.",Process
Iteration-1,"Apply the 80/20 rule: 20% of UI changes deliver 80% of UX improvement. Focus on the highest-friction touchpoints first.",Process
Consistency-2,Design systems prevent inconsistency. Every team building without a shared component library will ship different UX.,System
